event,gasUsed,blockNumber,timestamp,instanceID,sender,receiver,executionCount,price
"InstanceCreated","384944","2885","2024-11-13T10:39:07.997Z","1","","","",""
"InstanceCreated","367844","2887","2024-11-13T10:39:09.490Z","2","","","",""
"InstanceCreated","347944","2889","2024-11-13T10:39:11.492Z","3","","","",""
"InstanceCreated","347944","2891","2024-11-13T10:39:13.493Z","4","","","",""
"PurchaseOrder","191041","2906","2024-11-13T10:39:28.932Z","3","customer2","retailer1",1,""
"PurchaseOrder","191041","2906","2024-11-13T10:39:28.932Z","2","customer1","retailer2",2,""
"PurchaseOrder","191041","2906","2024-11-13T10:39:28.932Z","1","customer1","retailer1",3,""
"PurchaseOrder","191041","2906","2024-11-13T10:39:28.933Z","4","customer2","retailer2",4,""
"ConfirmOrder","200304","2919","2024-11-13T10:39:42.007Z","3","retailer1","customer2",1,""
"RestockRequest","200304","2919","2024-11-13T10:39:42.011Z","4","retailer2","manufacturer1",4,"100"
"ConfirmOrder","200304","2919","2024-11-13T10:39:42.011Z","2","retailer2","customer1",2,""
"RestockRequest","200304","2919","2024-11-13T10:39:42.011Z","1","retailer1","manufacturer1",3,"100"
"ConfirmRestock","153952","2960","2024-11-13T10:40:22.054Z","4","manufacturer1","retailer2",4,""
"CancelOrder","153952","2960","2024-11-13T10:40:22.055Z","1","customer1","retailer1",3,""
"PurchaseOrder","183825","2992","2024-11-13T10:40:54.487Z","2","customer1","retailer2",5,""
"PurchaseOrder","183825","2992","2024-11-13T10:40:54.488Z","4","customer2","retailer2",6,""
"PurchaseOrder","183825","2992","2024-11-13T10:40:54.489Z","3","customer2","retailer1",8,""
"PurchaseOrder","183825","2992","2024-11-13T10:40:54.489Z","1","customer1","retailer1",7,""
"ConfirmOrder","203356","3007","2024-11-13T10:41:09.069Z","2","retailer2","customer1",5,""
"ConfirmOrder","203356","3007","2024-11-13T10:41:09.069Z","1","retailer1","customer1",7,""
"RestockRequest","203356","3007","2024-11-13T10:41:09.070Z","3","retailer1","manufacturer1",8,"120"
"RestockRequest","203356","3007","2024-11-13T10:41:09.070Z","4","retailer2","manufacturer1",6,"100"
"CancelOrder","149817","3022","2024-11-13T10:41:25.026Z","3","customer2","retailer1",8,""
"CancelOrder","149817","3022","2024-11-13T10:41:25.026Z","4","customer2","retailer2",6,""
