event,gasUsed,blockNumber,timestamp,instanceID,sender,receiver,executionCount,price
"InstanceCreated","384910","26","2024-11-06T11:25:37.386Z","1","","","",""
"InstanceCreated","367822","28","2024-11-06T11:25:41.649Z","2","","","",""
"InstanceCreated","347910","31","2024-11-06T11:25:42.151Z","3","","","",""
"InstanceCreated","347922","33","2024-11-06T11:25:44.656Z","4","","","",""
"PurchaseOrder","50905","35","2024-11-06T11:25:46.159Z","1","customer1","retailer1",1,""
"PurchaseOrder","50905","35","2024-11-06T11:25:46.159Z","4","customer2","retailer2",2,""
"PurchaseOrder","62584","37","2024-11-06T11:25:48.164Z","3","customer2","retailer1",3,""
"PurchaseOrder","62584","37","2024-11-06T11:25:48.165Z","2","customer1","retailer2",4,""
"ConfirmOrder","36537","37","2024-11-06T11:25:48.165Z","1","retailer1","customer1",1,""
"ConfirmOrder","36537","37","2024-11-06T11:25:48.165Z","4","retailer2","customer2",2,""
"RestockRequest","109534","39","2024-11-06T11:25:50.170Z","3","retailer1","manufacturer1",3,"100"
"RestockRequest","95697","39","2024-11-06T11:25:50.170Z","2","retailer2","manufacturer1",4,"100"
"ConfirmRestock","29235","41","2024-11-06T11:25:52.171Z","3","manufacturer1","retailer1",3,""
"ConfirmRestock","29235","43","2024-11-06T11:25:54.175Z","2","manufacturer1","retailer2",4,""
"PurchaseOrder","50905","49","2024-11-06T11:26:00.192Z","3","customer2","retailer1",5,""
"PurchaseOrder","50905","49","2024-11-06T11:26:00.193Z","2","customer1","retailer2",7,""
"PurchaseOrder","62584","49","2024-11-06T11:26:00.193Z","4","customer2","retailer2",8,""
"PurchaseOrder","62584","49","2024-11-06T11:26:00.193Z","1","customer1","retailer1",6,""
"ConfirmOrder","36537","51","2024-11-06T11:26:02.199Z","3","retailer1","customer2",5,""
"RestockRequest","109534","51","2024-11-06T11:26:02.200Z","1","retailer1","manufacturer1",6,"100"
"RestockRequest","95697","51","2024-11-06T11:26:02.200Z","4","retailer2","manufacturer1",8,"120"
"ConfirmOrder","36537","51","2024-11-06T11:26:02.200Z","2","retailer2","customer1",7,""
"ConfirmRestock","29235","53","2024-11-06T11:26:04.201Z","4","manufacturer1","retailer2",8,""
"ConfirmRestock","29235","53","2024-11-06T11:26:04.201Z","1","manufacturer1","retailer1",6,""
